Platform,Type,Firm,Released,Units sold,Reference
PlayStation 2,Home,Sony,2000,158.70 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Nintendo DS,Handheld,Nintendo,2004,154.02 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Nintendo Switch,Hybrid,Nintendo,2017,118.99 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Game Boy & Game Boy Color,Handheld,Nintendo,"1989, 1998",118.69 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation 4,Home,Sony,2013,117.04 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation,Home,Sony,1994,102.49 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Nintendo Wii,Home,Nintendo,2006,102.49 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation 3,Home,Sony,2006,87.40 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Xbox 360,Home,Microsoft,2005,85.73 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Game Boy Advance,Handheld,Nintendo,2001,81.51 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation Portable,Handheld,Sony,2004,80~82 million (estimate),https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Nintendo 3DS,Handheld,Nintendo,2011,75.94 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
NES/Famicom,Home,Nintendo,1983,61.91 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Xbox One,Home,Microsoft,2013,51~58.5 million (estimate),https://www.vgchartz.com/charts/platform_totals/Hardware.php/
SNES/Super Famicom,Home,Nintendo,1990,49.1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Game & Watch,Handheld,Nintendo,1980,43.4 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Nintendo 64,Home,Nintendo,1996,32.93 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega Genesis/Mega Drive,Home,Sega,1988,30.75 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Atari 2600,Home,Atari,1977,30 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation 5 #,Home,Sony,2020,25 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Xbox,Home,Microsoft,2001,24 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
GameCube,Home,Nintendo,2001,21.74 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Wii U,Home,Nintendo,2012,13.56 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PlayStation Vita,Handheld,Sony,2011,10~15 million (estimate),https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Xbox Series X/S #,Home,Microsoft,2020,12 million (estimate),https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega Master System,Home,Sega,1986,10 13 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega Game Gear,Handheld,Sega,1990,10.62 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 6],1987,10 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega Saturn,Home,Sega,1994,9.26 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Dreamcast,Home,Sega,1998,9.13 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Master System (Brazilian variants),Home,Tectoy,1989,8 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Dendy (Famiclone),Home,Micro Genius,1992,6 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Famicom Disk System ,Home console add-on,Nintendo,1986,4.5 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
NES Classic Edition,Dedicated,Nintendo,2016,3.56 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
WonderSwan,Handheld,Bandai,1999,3.5 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega Pico,Home,Sega,1993,>3.4 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Color TV-Game,Dedicated,Nintendo,1977,3 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Intellivision,Home,Mattel,1980,3 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Mega Drive (Brazilian variants),Home,Tectoy,1990,3 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
N-Gage,Handheld,Nokia,2003,3 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Sega CD ,Home console add-on,Sega,1991,2.24 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
ColecoVision,Home,Coleco,1982,>2 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Magnavox Odyssey ,Home,Magnavox/Philips,1978,2 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
PC Engine CD-ROM ,Home console add-on,NEC,1988,1.92 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Atari Lynx,Handheld,Atari,1989,>1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Philips CD-i,Home,Philips,1990,>1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Telstar,Dedicated,Coleco,1976,>1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Atari 7800,Home,Atari,1986,>1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
Atari 5200,Home,Atari,1982,1 million,https://www.vgchartz.com/charts/platform_totals/Hardware.php/
