Title,Sales,Series,Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a],Ref
Minecraft,"238,000,000[b]",Minecraft,Multi-platform[c],"November 18, 2011[d]",Mojang Studios,Xbox Game Studios,[4][5]
Grand Theft Auto V,"170,000,000",Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games,[6]
Tetris (EA),"100,000,000",Tetris,Multi-platform[e],"September 12, 2006",EA Mobile,Electronic Arts,[7][8]
Wii Sports,"82,900,000",Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo,[9]
PUBG: Battlegrounds,"75,000,000",PUBG Universe,Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation,[10]
Super Mario Bros.,"58,000,000",Super Mario,Multi-platform[f],"September 13, 1985",Nintendo R&D4,Nintendo,[g]
Mario Kart 8 / Deluxe,"56,870,000",Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo,[h]
Pokémon Red / Green / Blue / Yellow,"47,520,000",Pokémon,Game Boy / Color,"February 27, 1996",Game Freak,Nintendo,[i]
Red Dead Redemption 2,"46,000,000",Red Dead,Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games,[6]
Terraria,"44,500,000",None,Multi-platform[c],"May 16, 2011",Re-Logic,Re-Logic / 505 Games,[19]
Wii Fit / Plus,"43,800,000",Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo,[9]
Tetris (1989)[j],"43,000,000",Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo,[k]
Pac-Man,"42,071,635",Pac-Man,Multi-platform[c],"May 22, 1980",Namco,Namco,[l]
Animal Crossing: New Horizons,"40,170,000",Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,[15]
The Witcher 3 / Hearts of Stone / Blood and Wine,"40,000,000",The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt,[32]
Mario Kart Wii,"37,380,000",Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo,[9]
Wii Sports Resort,"33,140,000",Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo,[9]
New Super Mario Bros.,"30,800,000",Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo,[33]
New Super Mario Bros. Wii,"30,320,000",Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo,[9]
Call of Duty: Modern Warfare,"30,000,000",Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision,[34]
Diablo III / Reaper of Souls,"30,000,000",Diablo,Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment,[35]
Human: Fall Flat,"30,000,000",None,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital,[36]
The Elder Scrolls V: Skyrim,"30,000,000",The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks,[37]
Super Smash Bros. Ultimate,"29,530,000",Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,[15]
The Legend of Zelda: Breath of the Wild,"29,490,000",The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo,[m]
Pokémon Gold / Silver / Crystal,"29,490,000",Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo,[n]
Duck Hunt,"28,300,000",None,NES,"April 21, 1984",Nintendo R&D1,Nintendo,[40]
Wii Play,"28,020,000",Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo,[9]
The Walking Dead,"28,000,000",The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games,[41]
Grand Theft Auto: San Andreas,"27,500,000",Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games,[42]
