Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Kinect Adventures!,24 million,"November 4, 2010",Adventuresports,Good Science Studio,Microsoft Game Studios
Grand Theft Auto V,22.95 million,"September 17, 2013",Action-adventure,Rockstar North,Rockstar Games
Minecraft: Xbox 360 Edition,21 million,"May 9, 2012",Sandboxsurvival,4J Studios,Microsoft Studios
Call of Duty: Modern Warfare 3,14.72 million,"November 8, 2011",First-person shooter,Infinity WardSledgehammer Games,Activision
Call of Duty: Black Ops,14.55 million,"November 9, 2010",First-person shooter,Treyarch,Activision
Call of Duty: Black Ops II,13.7 million,"November 13, 2012",First-person shooter,Treyarch,Activision
The Elder Scrolls V: Skyrim,13.7 million,"November 11, 2011",Action role-playing,Bethesda Game Studios,Bethesda Softworks
Call of Duty: Modern Warfare 2,13.49 million,"November 10, 2009",First-person shooter,Infinity Ward,Activision
Halo 3,12.13 million,"September 25, 2007",First-person shooter,Bungie,Microsoft Game Studios
Grand Theft Auto IV,11.1 million,"April 29, 2008",Action-adventure,Rockstar North,Rockstar Games
Call of Duty: Ghosts,10.16 million,"November 5, 2013",First-person shooter,Infinity Ward,Activision
Halo: Reach,9.87 million,"September 14, 2010",First-person shooter,Bungie,Microsoft Game Studios
Halo 4,9.41 million,"November 6, 2012",First-person shooter,343 Industries,Microsoft Studios
Gears of War,5 million,"November 7, 2006",Third-person shooter,Epic Games,Microsoft Game Studios
Gears of War 2,5 million,"November 7, 2008",Third-person shooter,Epic Games,Microsoft Game Studios
Batman: Arkham City,4.73 million,"October 18, 2011",Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment
Call of Duty 4: Modern Warfare,4.211 million,"November 5, 2007",First-person shooter,Infinity Ward,Activision
Fable II,3.5 million,"October 21, 2008",Action role-playing,Lionhead Studios,Microsoft Game Studios
Batman: Arkham Asylum,3.48 million,"August 25, 2009",Action-adventure,Rocksteady Studios,Square Enix
Call of Duty: World at War,3.35 million,"November 11, 2008",First-person shooter,Treyarch,Activision
Sneak King,3.2 million,"November 19, 2006","Stealth-action, advergame",Blitz Games Studios,King Games
Gears of War 3,3 million,"September 20, 2011",Third-person shooter,Epic Games,Microsoft Studios
Halo 3: ODST,3 million,"September 22, 2009",First-person shooter,Bungie,Microsoft Game Studios
Kinect Sports,3 million,"October 9, 2010",Sports,Rare,Microsoft Game Studios
Battlefield 3,2.73 million,"October 25, 2011",First-person shooter,EA DICE,Electronic Arts
