Game Title, Source, Url
Elden Ring, Polygon, https://www.polygon.com/what-to-play/22956981/best-games-2022-list
Elden Ring, Metacrict, https://www.metacritic.com/browse/games/score/metascore/year/all/filtered
Elden Ring, Vulture, https://www.vulture.com/article/best-video-games-2022.html
God of War: Ragnarok, Time, https://time.com/6235588/best-video-games-2022/
Elden Ring, Golden Joystick Awards, https://en.wikipedia.org/wiki/List_of_Game_of_the_Year_awards
Final Fantasy XIV: Endwalker, SXSW Gaming Awards, https://en.wikipedia.org/wiki/List_of_Game_of_the_Year_awards
Elden Ring, Gq, https://www.gq.com/story/best-video-games-2022
Elden Ring, Stuff TV, https://www.stuff.tv/top-10/games/
Elden Ring, Empire, https://www.empireonline.com/gaming/features/best-games-2022/
Elden Ring, The Game Awards, https://thegameawards.com/nominees/game-of-the-year
God of War: Ragnarok, Big, https://areajugones.sport.es/videojuegos/god-of-war-ragnarok-se-lleva-el-goty-2022-en-los-premios-titanium-de-la-big-conference/
Elden Ring, Brazil Game Awards, https://brazilgameawards.com.br/2022/12/06/os-jogos-mais-premiados-do-brazil-game-awards-2022/
