Game Title,Game Score,Number of Critics
The Legend of Zelda: Ocarina of Time,99,22
Tony Hawk's Pro Skater 2,98,19
Grand Theft Auto IV,98,64
SoulCalibur,98,24
Grand Theft Auto IV,98,86
Super Mario Galaxy,97,73
Super Mario Galaxy 2,97,87
Red Dead Redemption 2,97,33
Grand Theft Auto V,97,14
Grand Theft Auto V,97,50
Disco Elysium: The Final Cut,97,11
Grand Theft Auto V,97,58
Tony Hawk's Pro Skater 2,97,18
The Legend of Zelda: Breath of the Wild,97,109
Tony Hawk's Pro Skater 3,97,34
Perfect Dark,97,30
Red Dead Redemption 2,97,99
Grand Theft Auto V,97,66
Metroid Prime,97,70
Grand Theft Auto III,97,56
Super Mario Odyssey,97,113
Halo: Combat Evolved,97,68
NFL 2K1,97,22
Half-Life 2,96,81
Grand Theft Auto V,96,57
The Legend of Zelda: Breath of the Wild,96,13
BioShock,96,88
GoldenEye 007,96,21
Uncharted 2: Among Thieves,96,105
Resident Evil 4,96,82
The Orange Box,96,54
The Orange Box,96,34
Batman: Arkham City,96,42
Portal Companion Collection,96,9
Tekken 3,96,15
Elden Ring,96,19
Mass Effect 2,96,98
The House in Fata Morgana - Dreams of the Revenants Edition -,96,10
The Legend of Zelda: Twilight Princess,96,16
Elden Ring,96,84
The Elder Scrolls V: Skyrim,96,89
Half-Life,96,24
Resident Evil 4,96,38
The Legend of Zelda: The Wind Waker,96,80
Gran Turismo,96,16
BioShock,96,44
Metal Gear Solid 2: Sons of Liberty,96,42
Grand Theft Auto Double Pack,96,33
Baldur's Gate II: Shadows of Amn,95,30
Grand Theft Auto: San Andreas,95,80
Grand Theft Auto: Vice City,95,62
LittleBigPlanet,95,85
The Legend of Zelda Collector's Edition,95,8
Red Dead Redemption,95,73
Gran Turismo 3: A-Spec,95,54
Halo 2,95,91
Persona 5 Royal,95,13
The Legend of Zelda: A Link to the Past,95,30
The Legend of Zelda: Majora's Mask,95,27
The Last of Us,95,98
The Legend of Zelda: Twilight Princess,95,73
Madden NFL 2003,95,25
Tony Hawk's Pro Skater 2,95,16
Persona 5 Royal,95,71
The Last of Us Remastered,95,70
Portal 2,95,52
Red Dead Redemption,95,96
Portal 2,95,66
Metal Gear Solid V: The Phantom Pain,95,10
Portal 2,95,54
Tetris Effect: Connected,94,22
World of Goo,94,21
The Witcher 3: Wild Hunt - Complete Edition,94,27
The Elder Scrolls V: Skyrim,94,32
BioShock Infinite,94,27
Final Fantasy IX,94,22
Call of Duty: Modern Warfare 2,94,67
God of War,94,118
Tony Hawk's Pro Skater 4,94,27
Devil May Cry,94,37
Call of Duty 4: Modern Warfare,94,44
Madden NFL 2002,94,23
Batman: Arkham City,94,87
Persona 5 Royal,94,9
Mass Effect 2,94,55
The Legend of Zelda: Ocarina of Time 3D,94,85
Chrono Cross,94,16
Celeste,94,10
BioShock,94,51
Mass Effect 2,94,62
Grand Theft Auto: Vice City,94,30
Madden NFL 2004,94,29
Gears of War,94,88
The Elder Scrolls IV: Oblivion,94,90
Persona 5 Royal,94,25
Sid Meier's Civilization II,94,7
Quake,94,9
Call of Duty 4: Modern Warfare,94,70
BioShock Infinite,94,68
Halo 3,94,86
